PART NUMBER	NAME	MAKE/MODEL	CATEGORY
23390-51030	Fuel Filter	LAND CRUISER 79 New Model	GMB Japan
13715-17010	Exhaust Valve	LAND CRUISER 79	Digue
48706-60030	Hard Pan Bush	LAND CRUISER 79	Digue
16100-39486	Water Pump	7L	Genuine
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	Taiho
90311-95008	Seal(Rear crunk shaft seal)	1HZ	Genuine
M720AI	Main Bearing(0.25)	1KD/2KD/1KZ	GMB Japan
90915-10004	Oil Filter	RAV 4	555(Japan)
90948-01004	Front Shock Bush	LAND CRUISER 70 Series	Genuine
48531-69865	Shock Absorber(Rear)	LAND CRUISER 79	555(Japan)
3504	Release Bearing	2KD	All Parts
M729AI	Main Bearing(0.50)	5L/3L	Taiho
90311-45028	Seal (front diff)	LAND CRUISER 79	All Parts
35987	Piston rings(STD)	1KD	Taiho
CTX-073	Pressure Plate	LAND CRUISER 70 Series	Japan(Aisin)
90385-19003	Rear Shock Bush	LAND CRUISER 79	Genuine
90310-35010	Seal (Front tube seal)	LAND CRUISER 79	OSK
90310-36003	Seal (Rear tube seal)	LAND CRUISER 70 Series	Genuine
48511-69676	Shock Absorber(Front)	LAND CRUISER 79	Taiho
90151-60013	Screw(water pump)	LAND CRUISER 75 Tourist	Genuine
04495-60070	Brake Lining	7L	Genuine
90311-30014	Seal (Top shaft seal/bridge seal	LAND CRUISER 75 Tourist	Genuine
90368-45087	Wheel Bearing Outer(0.50)	LAND CRUISER 79	Genuine
11213-75040	Top cover Gasket	1TR	Koyo japan
36211-60090	Connector shaft(0.50)	LAND CRUISER 79	Genuine
69810-60330	Welding Machine(manual)	LAND CRUISER 70 Series	Genuine
4094w	Axle bearing(with con)	5L/3L/1KD	Aisin
90915-10004	Oil Filter	RAV 4	GMB Japan
90363-35030	Transfer Input Bearing	LAND CRUISER 79	Taiho
PT-157	Heater Plugs	5L/3L	Japan
13101-54101	Piston	LAND CRUISER 79	Genuine
31232-36020	Clutch Release Clip	LAND CRUISER 79	Koyo japan
23380-17541	Feed Pump	LAND CRUISER 79	555(Japan)
SWT10108ZZ	Piston rings(STD)	LAND CRUISER 75 Tourist	NPR
90916-02452	Fan belt(set)	LAND CRUISER 79	OSK
04479-60070	Caliper Kit Front	LAND CRUISER 79	Genuine
23390-0L041	Fuel Filter	LAND CRUISER 79	Genuine
LM48548/10	wheel bearing	5L/3L	Aisin
PT-152	Heater Plugs	Prado 1KD	Japan
17801-61030	Air filter	LAND CRUISER 79 Old Model	Aisin
17567-17020	Exhaust Mountain	1HZ	Genuine
13711-30030	Intake Valve	7L	Genuine
GUT-20	Universal joint	LAND CRUISER 79(rear)	OSK
D2177M-01	Brake Pads	LAND CRUISER 79	555(Japan)
13711-54050	Exhaust Valve	HIACE 5L	MK
